---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
      name:  <unnamed>
       log:  /Users/athamawardi/Desktop/Research-Projects/PSE_Pertamina/Output/hurdle/welfaregrid_Edu_z_Ker20_w1.log
  log type:  text
 opened on:  20 Jan 2026, 18:52:39
RUN: reg Edu_z on basepre=Ker20_w1 + controls
note: 2.r308b1e omitted because of collinearity.
note: 3.r309b omitted because of collinearity.
note: 4.r309d omitted because of collinearity.
note: 2.r309e omitted because of collinearity.
note: 5.r403c1 omitted because of collinearity.
note: 4.r403c2 omitted because of collinearity.

Linear regression                               Number of obs     =     84,276
                                                F(38, 487)        =          .
                                                Prob > F          =          .
                                                R-squared         =     0.7211
                                                Root MSE          =     .52989

                                  (Std. err. adjusted for 488 clusters in nama_kab)
-----------------------------------------------------------------------------------
                  |               Robust
            Edu_z | Coefficient  std. err.      t    P>|t|     [95% conf. interval]
------------------+----------------------------------------------------------------
         Ker20_w1 |  -.1021691   .0186182    -5.49   0.000     -.138751   -.0655873
                  |
          r308b1d |
               1  |   .0279856   .0299865     0.93   0.351    -.0309334    .0869045
               2  |   .0541321   .0281881     1.92   0.055    -.0012532    .1095175
                  |
          r308b1e |
               1  |   .0283999   .0224451     1.27   0.206    -.0157013     .072501
               2  |          0  (omitted)
                  |
            r309a |
               2  |  -.2691623   .0280413    -9.60   0.000    -.3242592   -.2140654
               3  |  -.4049651   .0425711    -9.51   0.000    -.4886108   -.3213194
                  |
            r309b |
               1  |  -.0885043   .0259704    -3.41   0.001    -.1395322   -.0374765
               2  |   -.098483   .0251276    -3.92   0.000    -.1478549   -.0491111
               3  |          0  (omitted)
                  |
            r309d |
               1  |   .2227498   .0263554     8.45   0.000     .1709655     .274534
               2  |   .1095097   .0220063     4.98   0.000     .0662708    .1527487
               3  |   .0485313   .0223182     2.17   0.030     .0046794    .0923832
               4  |          0  (omitted)
                  |
            r309e |
               1  |  -.0498518   .0142685    -3.49   0.001    -.0778873   -.0218164
               2  |          0  (omitted)
                  |
           2.r310 |  -.0475912   .0121707    -3.91   0.000    -.0715047   -.0236777
                  |
            r403a |
               2  |  -.2264091   .0861175    -2.63   0.009    -.3956168   -.0572014
               3  |  -.5016685   .0628918    -7.98   0.000    -.6252414   -.3780957
               4  |  -.3944133   .2775701    -1.42   0.156     -.939796    .1509694
               5  |  -.4987443   .1988137    -2.51   0.012    -.8893828   -.1081058
               6  |  -.5309358   .0740998    -7.17   0.000    -.6765306    -.385341
               7  |  -.7900193   .0578923   -13.65   0.000    -.9037687   -.6762699
               8  |  -.6188691   .0918705    -6.74   0.000    -.7993807   -.4383576
               9  |  -.5485512   .0736633    -7.45   0.000    -.6932884   -.4038141
              11  |  -.5711578   .0588279    -9.71   0.000    -.6867457   -.4555699
              13  |  -.3264437   .4821141    -0.68   0.499    -1.273724    .6208367
              14  |  -.3574554   .1568009    -2.28   0.023    -.6655452   -.0493656
              15  |  -1.017297   .0621787   -16.36   0.000    -1.139469   -.8951256
              16  |  -.8219588   .0776521   -10.59   0.000    -.9745333   -.6693844
              17  |  -.2394345   .1406694    -1.70   0.089    -.5158283    .0369593
              18  |   .0378976   .1200999     0.32   0.752    -.1980804    .2738756
              19  |  -.6287958   .0657166    -9.57   0.000     -.757919   -.4996727
              20  |  -.4510136   .0567043    -7.95   0.000    -.5624288   -.3395983
                  |
           r403c1 |
               1  |  -.0811412   .0544493    -1.49   0.137    -.1881258    .0258434
               2  |  -.0140448   .0545655    -0.26   0.797    -.1212576     .093168
               3  |   .0711921   .0552691     1.29   0.198    -.0374032    .1797874
               4  |   .1497994   .0598776     2.50   0.013     .0321491    .2674496
               5  |          0  (omitted)
                  |
           r403c2 |
               1  |  -.2309823   .0185818   -12.43   0.000    -.2674926   -.1944719
               2  |  -.0930046   .0186185    -5.00   0.000     -.129587   -.0564221
               3  |  -.0526357   .0229504    -2.29   0.022    -.0977298   -.0075416
               4  |          0  (omitted)
                  |
         y_combo3 |
    Tangkap-only  |  -.0328012   .0289853    -1.13   0.258    -.0897529    .0241505
Tangkap+Budidaya  |   -.101687   .0302597    -3.36   0.001    -.1611427   -.0422312
     Other/mixed  |  -.0811722   .0424412    -1.91   0.056    -.1645627    .0022183
                  |
              kab |
            11 2  |   -.238096   .0129863   -18.33   0.000    -.2636122   -.2125799
            11 3  |  -.2570665   .0200067   -12.85   0.000    -.2963767   -.2177563
            11 4  |   -.343505   .0150948   -22.76   0.000    -.3731639    -.313846
            11 5  |   .1148432   .0198486     5.79   0.000     .0758437    .1538427
            11 6  |  -.2164098   .0144522   -14.97   0.000    -.2448061   -.1880135
            11 7  |  -.0417453   .0133913    -3.12   0.002    -.0680572   -.0154334
            11 8  |  -.1356511   .0225008    -6.03   0.000    -.1798617   -.0914405
            11 9  |  -.2441008   .0153296   -15.92   0.000    -.2742213   -.2139804
           11 10  |  -.2212756   .0142153   -15.57   0.000    -.2492064   -.1933447
           11 11  |   .0094644   .0180117     0.53   0.600    -.0259258    .0448547
           11 12  |  -.5004957   .0192765   -25.96   0.000     -.538371   -.4626203
